Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4
All species,....Ilocos Norte,1716.5,1543,1004.5,1078.1,1712.35,1735.2,1279.5,1043.5,1698.28,2071.8,1284.13,920.98,1217.07,2128.5,1243.6,986.45,1258.62,2308.75,1296.51,1270.54,1744.31,2616.17,1519.27,1835.65,2294.04,2702.22,2332.88,1666.92,2007.59,2612.73,1911.22,1380.84,2112.67,2391.98,2038.79,1574.97,1919.89,2439.37,2846.32,1602.87,1466.25,2170.5,2236.62,1941.05,1713.86,2214.66,2502.77,2008.43,1977.61,2072.72,2799.57,2143.05,1640.53,1341.65,1773,2073.73,1504.54,1500.56,1204.27,1828.44,1267.91,1765.01,1282.39,1932.9,1467.06,1363.91,1388.28,1653.98,1755.26,1293.03,1085.11,1881.18,1565.34,2175.63,1492.31,1513.43,1460.89,..,..,..
All species,....Ilocos Sur,2176.1,2043,1298,4543,2541.6,2514.4,1851.2,3535.9,3021.1,2841.73,1815.35,2735.03,2827.68,2698.93,1736.6,2720.67,2859.7,3429.05,1677.77,3019.81,2927.44,3416.57,1888.54,2541.83,4000.32,4949.46,3808.55,3028.3,3570.67,4783.53,2871.19,3297.73,2753.14,3096.12,2385.43,3079.13,2914.85,3012.59,1888.37,3031.5,2957.09,2877.32,1837,2422.06,2327.69,2765.25,1748.18,1793.54,2396.1,2337.7,1677.89,1542.44,2313.17,2166.3,1650.68,1499.59,1820.21,1938.89,1208.04,1490.72,1577.26,1781.64,1311.53,1543.31,1605.13,1726.84,1200.21,1464.48,1633.22,2346.1,1119.04,1599.39,1791.84,2349.11,1541.37,1292.45,1646.32,..,..,..
All species,....La Union,1790.4,3114,2104,1783,1898.5,3156.5,2084.3,2016.71,2129.5,3746.91,2091.44,2623.77,2386.14,3835.11,2230.22,2531.91,2512.75,4124.1,2440.18,3425.75,2844.93,3965.03,2418.01,3442.42,2537.1,5196.44,3654.72,2593.56,4016.99,5411.96,2945.56,2509.39,3246.17,3206.62,2632.69,2570.9,3184.57,2806.16,1909.47,2900.19,3958.8,2488.58,1204.48,2238.66,3623.25,2972.2,1241.72,2241.81,3867.99,3632.77,1266.24,2001.41,3835.51,1810.85,1473.65,1311.93,2351.35,3971.1,1587.69,1111.89,1788.09,5447.25,1535.45,1052.22,1732.82,5245.01,1992.76,1543.28,1625.46,5311.49,1590.22,2935.54,2913.18,4124.28,2721.16,3013.73,3865.66,..,..,..
All species,....Pangasinan,8949.07,12275.51,10999,16951.89,9636,12787,10741,21398.7,11203.51,13511.7,11616.8,26939.2,14049.3,16900.04,15900.68,32838.58,18254.04,22726.91,19582.82,37963.26,19740.31,25762.71,21094.26,48997.38,22095.85,23836,14870.35,49804.56,23304.15,21447.44,13834.91,41785.99,21883.24,29224.38,15779.5,39532.91,23767.16,26855.03,15446.99,53739.58,19719.54,27603.02,15409.48,55013.93,23032.82,30964.2,17315.29,57204.76,23421.27,37307.95,19500.28,66251.41,23690.04,37147,20546.96,57617.1,24633.64,32324.35,20599.07,58199.96,23997.13,35485.43,20670.14,58899.21,25215.63,28468.15,18783.45,60327.23,29285.39,29222.15,21458.56,65527.54,29443.64,27297.6,22241.1,74207.17,28550.67,..,..,..
All species,..Region II (Cagayan Valley),11846,10561.6,9763,10883,12996.4,12616.4,9683.41,7676.63,13306.31,12526.17,9715.68,7224.63,14223.54,12374.7,10026.14,10142.73,16078.29,15010.42,12931.72,10387.84,16996.76,16672.84,14046.94,11442.54,17372.29,17302.43,15567.6,11078.03,18355.36,18479.57,16070.82,10576.11,18873.41,17718.49,14364.72,11396.06,16587.15,20606.72,15411.17,12270.51,11626.87,18393.63,16341.58,13700.64,13760.37,19251.64,15351.63,13518.43,13089.49,18953.35,15107.7,12997.44,11906.12,19041.65,13733.33,11671.91,12137.41,17243.53,13523.71,10564.94,11903.79,16617.49,12492.15,10012.33,10510.38,15589.72,12350.76,9121.64,9390.04,15482.1,11954.1,8555.79,7865.24,15638.38,12074.61,8340.65,7811.69,..,..,..
All species,....Batanes,24,85,93,98,84,213,49,41,166,234.17,65,1.7,115.77,261.15,113,44.53,199.47,195.89,49.46,52.94,275.11,385.31,67.7,52.63,288.39,286.08,83.78,49.96,375.73,422.74,92.99,64.83,336.2,423.21,77.46,85.74,368.36,531.09,87.8,72.69,407.62,508.41,115.98,98.2,419.57,492.78,108.06,93.39,405.78,501.91,104.63,98.67,362.88,451.5,109.76,85.94,276.36,386.87,84.84,64.99,327.14,404.42,83.76,64.81,327.64,403.55,83.07,64.71,329.74,419.08,81.99,58.35,305.53,420.14,76.08,55.05,303.39,..,..,..
All species,....Cagayan,10448,9257,8140,9105,11429.4,11114.5,8211.7,6231.1,11416.76,10585,8096.82,5695.31,12092.09,10313.65,8136.37,7898.17,13776.05,13090.6,10934.8,8308.37,15003.5,14366.75,11147.24,8653.17,14678.14,14643.42,12387.84,8287.18,15349.56,15346.1,12677.53,7878.83,15313.22,15430.59,12180.07,8484.02,13626.04,17079.46,12540.72,8892.85,8335.84,14998.25,12400.86,9874.59,10366.46,15378.52,11496.59,9218.83,9597.31,15153.27,11281.05,9112.17,8640.3,15343.22,10945.94,8242.15,8785.79,13745.84,10665,7300.89,8672.75,12773.98,9684.04,6722.88,7315.24,11994.44,9806.73,6005.55,6195.05,11944.34,9244.25,5431.45,4792.5,12126.66,9338.46,5367.56,4637.6,..,..,..
All species,....Isabela,1011,876,1188,1311,1050,962,1103,1112,1324,1299,1197.54,1325.7,1516.85,1400.95,1331.03,1633.77,1535.83,1301.72,1477.23,1671.3,1222.73,1432.28,2219.15,2298.09,1829.77,1775.37,2324.55,2228.94,1967.81,2126.27,2423.84,2010.99,2590.01,1504.56,1495.6,2190.21,1908.68,2401.61,1992.89,2745.99,2158.62,2189.91,2867.89,2985.37,2214.41,2453.92,2881.12,3307.69,2348.59,2480.28,2815.94,2833.58,2283.74,2703.43,2120.05,2625.28,2412.58,2560.01,2153.52,2357.94,2233.11,2615.18,2206.2,2479.75,2310.27,2356.16,1968.27,2324.89,2325.64,2271.44,2128.98,2299.48,2161.87,2223.84,2117.54,2262.22,2287.27,..,..,..
All species,....Nueva Vizcaya,210,211.6,188,147,239,200.7,200,154.48,237.4,228.3,222.7,124.33,308.86,261.8,323.3,335.67,393.66,280.81,356.37,221.63,313.45,331.98,484.7,285.66,370.55,422.65,619.25,342.26,439.25,350.5,703.06,392.05,368.12,265.03,540.85,430.36,416.88,403.38,639.69,338.63,482.84,458.49,721.13,390.15,533.44,559.71,681.84,498.41,537.13,548.3,706.54,540.37,444.6,393.18,456.71,391.11,457.37,407.17,498.5,428.71,476.26,570.4,384.53,403.61,363.42,595.68,374.82,410.8,358.6,616.14,367.64,447.85,435.94,661.26,414.8,360.46,426.7,..,..,..
All species,....Quirino,153,132,154,222,194,126.2,119.71,138.05,162.15,179.7,133.62,77.59,189.97,137.15,122.45,230.6,173.28,141.4,113.86,133.6,181.98,156.53,128.16,152.99,205.43,174.9,152.18,169.68,223,233.96,173.41,229.41,265.85,95.11,70.74,205.74,267.2,191.18,150.07,220.35,241.94,238.58,235.72,352.34,226.5,366.71,184.02,400.11,200.68,269.59,199.55,412.65,174.59,150.31,100.87,327.42,205.31,143.65,121.86,412.42,194.53,253.5,133.61,341.28,193.81,239.9,117.88,315.68,181.01,231.1,131.24,318.66,169.4,206.48,127.73,295.35,156.72,..,..,..
All species,..Region III (Central Luzon),50560.1,55085.3,29172.2,47408,44795.1,59026.4,29306.9,48662.34,47494.58,63273.55,29339.72,46019.57,52986.61,63593.62,36937.25,55825.2,75081.62,66017.16,37536.03,57499.48,84065.97,74526.28,38237.39,62545.37,93305.3,76256.99,42379.74,62984.07,94293.67,76323.88,40822.63,60673.73,90113.75,70605.44,39840.27,64119.57,86314.73,72835.47,39042.79,60773.92,83886.28,73107.53,37312.71,65088.76,90512.71,75909.07,35199.93,67938.8,94197.78,77147.96,36974.94,69726.07,94519.14,73869.42,37960,70620.47,88509.38,76325.61,38722.47,69094.3,92609.51,83230.72,39825.2,71827.9,92190.93,97200.21,41725.47,78465.6,91366.73,113774.17,36457.38,80566.06,89100.84,139976.78,39905.08,77648.33,95746.8,..,..,..
All species,....Aurora,953,1011,1114,1126,983,1049.5,1165,1119.5,985.9,1029.5,1236.5,1133.66,1049,1085.34,1128.42,1127.12,993.69,1107.04,1153.25,1018,1030.23,1122.1,1138.32,1150.14,978.93,990.02,985.5,997.38,874.64,742.92,963.67,888.87,890.2,1139.34,881.64,881.57,833.14,968.6,837.72,828.59,877.11,776.73,747.49,850.75,946.29,848.22,699.84,815.25,1015.13,868.36,754.25,837.96,1286.81,855.92,757.46,816.57,1070.18,891.83,770.48,773.76,981.34,853.2,720.21,694.22,901.92,805.75,672.28,658.44,792.36,755.25,781.27,618,704.8,730.2,770.59,268.53,608.3,..,..,..
All species,....Bataan,7849,4588,2996,4282,5635,5232,3581,4146.3,5351.97,5407.2,4060.98,4469.4,6909.9,7613.32,6660.18,9153.38,7109.24,7506.69,5717.02,7821.08,7402.13,7768.94,6294.43,8117.68,7975.72,8470.54,6297.45,7132.27,7623.82,6720.52,5044.76,6056,6795.66,6208.41,4721.01,5647.92,6829.06,6500.03,4586.84,5318.14,6453.59,6099.38,4636.36,5234.7,6577.11,6260.94,4632.11,5196.88,8025.16,6621.96,5059.84,6391.29,7705.74,6599.95,5181.13,6585.37,7959.87,7087.49,5381.52,5448.71,8373.53,6473.9,5650.87,5685.17,8795.28,7637.59,6595.54,6759.86,7467.73,13875.32,4103.2,9719.06,7703.13,12575.35,4766.23,8071.46,7319.71,..,..,..
All species,....Bulacan,14982,15893,13759,13494,14780,17014,11943.6,10459.2,13336.75,19536.4,11635.6,9295.5,12669.99,18259.7,10891.7,9132,11846.4,17260.68,10295.04,9378.55,11002.5,18856.11,8363.2,9612.99,12643.01,18688.38,11282.6,9154.95,11700.63,17262.09,10538.71,6365.38,11807.74,15272.68,9607.88,7666.33,11457.04,15782.95,8703.12,4847.8,11932.58,16655.01,7565.52,5725.72,14295.17,16098.94,5980.23,6175.3,12094.09,16021.92,7153.91,6211.12,10818.45,16082.76,7082.19,6803.7,11137.05,18222.09,6712.78,5643.77,10866.47,17766.33,5969.58,4979.98,9410.59,24011.57,4408.82,4743.12,4578.67,31498.93,5485.66,5142.39,2945.01,47098.95,5159.22,3724.15,5205.82,..,..,..
All species,....Nueva Ecija,1156,1048,1216,3557,1201,1116,1219,3889,1479,1377,1160,3541,1302,1360,1238,3579.5,1466.5,1491.06,1752.25,3685,1586,1491.58,1704.02,3773.01,1792.45,1576.09,1739.3,3697.32,1999.41,1636.1,1762.9,1131.3,1999.14,1375.55,1421.41,1177.74,1877.06,1416.1,1194.96,798.67,1508.04,1257.61,1526.65,855.2,1279.24,706.4,1483.01,962.05,1583.33,1322.47,1462.06,560.91,1543.53,1309.09,1533.01,673.8,994.53,1879.55,2525.52,1151.58,1728.5,1235.92,1408.52,1073.85,1894.11,1371.52,2075.21,1007.93,1586.38,1568.34,1590.84,1184.75,1719.39,1616.5,1467.57,992.17,2935.47,..,..,..
All species,....Pampanga,21515,28643,8753,21991,18743.1,29660.9,9765.3,24413.1,22083.07,31058.17,9495.57,22951.06,26006.33,29699.63,13037.6,26724.06,47519.44,32371.48,14707.19,29647.25,55119.49,37180.31,16903.84,33906.83,61775.94,38610.96,18558.38,36535.65,62397.23,41051.57,19148.26,40352.64,59454.04,39557.82,18023.65,42492.82,55677.14,40910.34,18623.85,41622.29,53594.06,39937.01,18094.82,44129.24,56833.99,41886.26,17651.7,46083.13,60126.62,39800.85,17015.69,46779.66,61970.32,36952.19,17861.28,48626.53,58472.17,38489.94,17953.15,50158.98,60274.45,40670.25,19092.29,51455.73,61457.8,41987.64,18449.62,53097.97,62394.44,43630.14,16506.84,54436.27,64105.82,47929.04,19309.69,57783.23,71174.74,..,..,..
All species,....Tarlac,568.1,754.3,311.2,754,560,866,377,812.24,636.89,895.2,306.2,887.45,641.26,842.73,520.09,1385.23,2076.22,1098.05,618.74,1535.33,2979.44,1335.98,621.78,1674.83,3052.6,1356.02,596.21,1533.6,3163.16,1714.96,807.9,2216.68,2308.6,1085.92,761.57,2209.65,2055.01,1205.7,954.69,2500.4,2204.98,1743.24,1075.94,2758.97,2296.32,1726.66,1083.88,2592.3,2094,2176.08,1362.99,2872.6,2164.87,1999.85,1469.37,2522.81,2110.34,1279.55,1701.59,2210.68,2613.26,1398.3,1872.38,2860.49,1967.44,1488.53,4062.06,1697.6,2146.26,721.02,3507,966.45,2073.59,544.57,3575.52,1245.79,488.18,..,..,..
All species,....Zambales,3537,3148,1023,2204,2893,4088,1256,3823,3621,3970.08,1444.87,3741.5,4408.13,4732.9,3461.26,4723.91,4070.13,5182.16,3292.54,4414.27,4946.19,6771.27,3211.8,4309.89,5086.65,6564.99,2920.29,3932.89,6534.77,7195.7,2556.44,3662.87,6858.36,5965.73,4423.12,4043.53,7586.27,6051.75,4141.63,4858.03,7315.91,6638.55,3665.92,5534.18,8284.59,8381.64,3669.16,6113.89,9259.45,10336.32,4166.2,6072.54,9029.4,10069.66,4075.55,4591.7,6765.24,8475.16,3677.42,3706.81,7771.96,14832.83,5111.35,5078.45,7763.79,19897.62,5461.94,10500.67,12400.89,21725.17,4482.58,8499.14,9849.1,29482.18,4856.26,5563.01,8014.58,..,..,..
All species,..Region IV-A (CALABARZON),64361.1,93703.5,76181.7,76468,75027,86626.1,77592,78847.9,76556.12,76504.73,83786.39,81288.82,69705.37,76737.28,81249.61,98184.92,82583.75,89065.41,89775.98,90749.96,83391.18,88274.91,110666.33,104816.92,91350.88,93962.48,118439.78,104397.27,99744.8,91307.74,132174.01,92353.04,92247.27,94649.32,121072,105426.85,92607.77,89898.01,113690.82,106698.38,96574.96,91895.13,111001.83,108463.31,97508.61,89138.01,114126.87,107329.27,99512.91,92445.25,105690.37,93816.25,88134.2,93861.77,102602.02,93924.34,77229.2,82955.07,82806.6,88249.28,76611.88,85906.23,86620.17,82808.59,56906.93,83126.46,77205.2,75838.63,52913.63,83601.5,81433.94,82442.6,56630.92,58919.95,67107.67,60350.01,43810.41,..,..,..
All species,....Batangas,12758,9874,10379.8,11964,15463,10890.4,12639.5,12934,15820,10687,14274,13373,16534.75,11160,14875.4,14991.4,19308.69,13284.3,26010.7,18145.87,25658.68,15753.69,34893.97,19566.14,25827.89,17189.32,35594.04,18871.97,27822.7,17696.3,39723.56,17706.36,28395.97,19394.18,36505,22717.7,28629.41,17860.3,30428.2,23786.16,29465.54,18955.33,26908.4,24203.91,31202.07,17795.35,28207.26,25301.61,28136.93,17966.14,20264.08,18786,23103.07,22862.38,20746.04,26132.15,25384.12,22590.24,25793.64,19745.73,20881.17,20695.4,27038.06,22699.94,16762.47,18587.43,31831.35,29710.37,13150.78,15317.25,29444.01,35178.65,10628.66,12791.95,23569.69,18866.85,15658.37,..,..,..
All species,....Cavite,1654.6,3507,1421.9,1570,2276,4721,2162,2423,2569.26,5501.19,1671.81,2864.16,2197.73,7766.38,1630.87,2716.64,1886.82,8332.67,2333.18,2229.79,1955.49,8591.79,3146.01,2042.92,1716.4,8825.83,2830.01,1793.74,1915.82,6097.22,1763.2,1349.4,2012.8,7747.74,2428.27,2975.56,2418.94,8312.49,2062.06,3893.32,2748.4,10428.01,1593.89,2770.72,2956.4,10213.93,1928.55,2230.33,2866.02,6972.28,1810.96,3157.17,2481,5728.02,2260.14,3107.98,2965.39,3955.04,2044.12,2619.66,2636.65,5327.95,2390.63,2703.97,3176.54,10340.21,2242.99,2901.94,3419.54,11086.43,3170.4,3033.19,3115.37,7739.32,3709.2,2835.28,4421.18,..,..,..
All species,....Laguna,5173,6772,4669,4273,4284,7069,4934,4681,4392.7,7266.97,5416.12,4859.11,4600.94,7407.26,5880.13,12404.84,12548.82,14090,11641.82,12910.04,12315,13626.51,12350.87,13622.4,13897.65,14579.84,12409.11,13907.83,14751.18,11468.42,11053.07,13031.33,12751.14,11710.5,11416.41,12342.12,12941.84,11616.83,11357.8,12693.29,12730.94,11662.91,11392.27,12760.43,13237.6,12122.02,12169.57,13005.06,13496.65,12253.61,12860.34,11380.33,12517.67,11384.31,11332.6,12333.96,8996.96,9915.25,12172.62,12431.33,10752.14,11214.05,12177.57,11641.87,11071.69,12254.19,12575.94,12059.78,11281.33,12747.43,12510.71,12487.25,11513.01,12455.35,12158.98,10889.39,4566.46,..,..,..
All species,....Quezon,28755.5,50836.5,37802,34520,35635,45622.7,35490.5,31438.9,36033.36,35406.57,37712.45,27760.54,28925.53,34170.25,36731.21,34022.64,31167.59,37834.32,36429.51,31440.75,30133.41,35766.36,37412.13,36775.4,32168.46,37845.8,43148.35,36120.8,38797.29,38209.75,52816.21,34059.37,32395.34,36699.32,43383.53,38917.12,30776.03,32112.47,41628.05,36325.39,32910.17,30562.23,41360.79,37875,31041.38,28496.12,40844.47,34984.2,35424.94,34000.04,35148.67,27107.72,29842.76,33917.69,33121.21,20299.81,21041.67,27418.6,28085.91,29214.89,22143.57,27717.56,31240.48,24380.31,16209.38,23392.11,19788.05,14392.64,16048.02,23883.46,25456.81,12295,20750.67,12436.07,18786.33,11785.27,14102.89,..,..,..
