Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4
All species,....Ilocos Norte,102660,89085,61065,74098,109247,111377,83875,69274,113958.35,143022.45,110155.75,77927.2,98844.32,177845.27,107527.06,79559.58,111860.43,181432.73,102087.65,113149.47,131869.84,185246.8,120027.65,126312.28,183394.41,208718.15,195170.12,155113.49,167980.48,212140.54,154868.04,128135.57,180997.36,207540.83,178325.11,140369.15,194498.4,221977.97,242088.41,140235.76,127786.59,204014.66,204119.97,179294.72,162978.28,208480.19,232236.15,190828.12,173156.03,190794.63,270095.57,198293.43,165381.59,130888.97,174441.07,196247.86,161555.49,158556.57,124373.77,178276.13,148158.77,178830.78,133455.86,191537.69,181032.65,159973.26,146122.97,198096.66,194560.93,164320.27,118802.05,240715.85,180436.63,324907.02,195654.1,257993.75,210629.38,..,..,..
All species,....Ilocos Sur,138699,127295,72068,300959,150224,147111,99914,185231,189852.8,173059.14,113902.39,174310.97,199387.15,180032.89,124371.58,205077.82,211932.13,252464.59,124826.14,237481.47,221023.98,260129.19,146714.26,217961.66,373111.29,388488.8,289417.57,317904.56,327352.73,381436.75,239318.41,295473.11,244676.02,274625.55,205127.87,272340.58,274286.84,280318.52,173390.52,280566.65,277652.2,263527.71,168450.71,242614.98,223091.01,264038.1,161761.73,173203.8,221956.28,226092.21,158179.22,151894.69,217015.82,207780.27,152175.14,145196.97,183778.55,192187.59,118194.64,143148.2,160359.36,177481.95,135975.06,159350.03,177095.51,178741.04,131966.72,150981.4,205604.97,252013.14,139663.65,194627.66,235436.06,278087.36,204323.01,200952.42,227006.99,..,..,..
All species,....La Union,125611,211517,150448,145289,143534,220588,152460,144227,176764.51,281948.87,160452.73,200877.81,178273.82,317956.56,185529.58,175108.22,197015.61,319215.44,173256.38,256621.84,213007.35,307165.09,173993.55,255282.98,178718.5,362643.21,270992.37,199574.96,321149.01,364408.58,200942.13,184563.37,285373.82,264179.21,191926.73,202545.8,277261.51,271233.32,165302.42,277400.58,368033.77,244654.83,124205.19,224011.03,349361.08,301475.29,119663.48,214817.45,366960.43,360099.08,123164.53,204578.6,335770.32,190908.54,150766.34,142203.71,205581.73,430710.88,140630.91,118137.06,176786.19,590523.61,146293.12,115117.09,182484.51,609040.97,208548.47,197553.75,189401.55,656403.12,174225.52,368325.98,385388.84,535822.97,297641.34,455197.2,500007,..,..,..
All species,....Pangasinan,503468,586124,632080,879440,513395,621896,644389,1293449,761408.49,814444.66,806825.42,1766315.21,988939.99,1055340.82,1069011.21,2075741.77,1241240.72,1532639.77,1432520.79,2556475.31,1364361.43,1505378.27,1446709.5,3039577.29,1515227.39,1320285.26,1303478.91,4540308.9,1900311.65,1342220.94,1128805.98,3724512.29,1946829.6,2058886.66,1293876.21,3054737.68,1918619.73,1944278.49,1246485.44,4922389.36,1858803.28,2642751.92,1507589.04,5586981.22,2229402.97,2858955.48,1486621.47,5151011.34,2387595.66,3303832.47,1963275.1,6960034.91,2496254.14,3330955.4,2088176.52,5902619.72,2690636.88,2844606.19,1944982.1,6146061.08,2595585.54,3210195.15,2046677.84,6321104.11,2934402.22,2469575.74,2174952.04,7017582.67,3243968.47,2817629.42,2535902.2,8030885.86,3317129.13,2782520.69,2500582.96,8597059.34,3452426.33,..,..,..
All species,..Region II (Cagayan Valley),627883,594811,518610,522405.25,701729,688291,522408,419205,809005.61,805729.17,620070.55,479423.82,862935.65,768309.74,611204.95,680644.86,1027979.27,924039.06,824403.09,660778.28,1082775.8,1089291.15,949909.07,775552.64,1228174.2,1161209.41,996610.52,770571.98,1195262.37,1123621.41,1100706.29,771615.29,1279811.97,1155189.04,1036927.71,851293.07,1237282.37,1335120.96,1141935.8,938350.07,936250.47,1250679.19,1247227.55,1161383.11,1026958.68,1388513.4,1233175.61,1218300.72,1059551.56,1476019.8,1228168.86,1200362.11,1035387.34,1647608.79,1262081.19,1144369.99,1087166.29,1521333.7,1213198.84,1066048.65,1044516.06,1553725.65,1306456.92,1052864.94,968246.12,1505783.91,1287421.56,1034196.61,863772.62,1547499.92,1326948.7,1023371.19,776523.84,1741028.09,1316852.56,1068996.48,806008.76,..,..,..
All species,....Batanes,1292,4675,5115,5500,4200,12500,2940,2307,10560,14748.73,4234.64,90,7364.65,17170.11,7415.59,2374.73,14195.8,7907.54,2568,2220.1,15705.1,21488.23,3583.21,2781.17,15328.27,18553.48,5072.77,2895.51,23343.65,35507.67,5942.35,4047.95,29223.69,44403.39,5956.2,7342.63,38588.51,45223.9,6873.85,7959.46,35355.62,38321.1,10022.89,9525.46,36640.44,41517.57,9679,9166.08,38503.41,47309.06,10999.75,9788.43,36650.33,46036.01,12282.56,10329.41,29593.01,42029.88,10224.78,7978.62,34135.65,46467.02,10253.03,8131.79,36615.54,46937.76,10385.8,9929.26,38174.74,49336.07,11611.21,9372.59,42565.53,57306.1,13361.28,9178.78,41466.08,..,..,..
All species,....Cagayan,544919,515052,420189,414414,603357,599492,435586,333113,686473.61,669907.44,501624.41,361302.32,713968,623180.13,482124.86,523041.88,875906.31,805097.48,696469.91,521237.09,953179.31,947115.21,761510.09,602726.64,1056758.92,989192.73,782057.24,571690.36,985284.65,894032.22,855318.16,577871.11,1033757.01,974280.87,873438.3,618612.74,1001296,1069829.62,930158.35,671366.24,668712.07,983472.38,931097.31,833587.97,749948.51,1079177.74,902467.48,821105.41,755123.46,1157872.05,902055.19,827515.85,735902.1,1328054.89,1004924.47,814082.7,788728.56,1212617.44,954510.86,768205.61,754210.35,1190451.47,1051940.88,750423.68,663298.66,1175509.81,1049197.2,735759.94,576967.62,1221950.58,1075726.44,713948.93,474590.39,1388369.49,1049111.76,773783.68,485814.58,..,..,..
All species,....Isabela,60215,53610,73984,81270,69812,58058,65979,67195,86805,96395,92162,105281,108562,102318,92572,117844,99694.06,83587.7,94638.88,114002.74,80778.75,87683.56,144128.51,141656.23,117627.31,111212.47,151876.46,156188.29,135123.58,148851.3,173381.03,140951.28,169404.07,108826.68,108351.77,172774.35,141358.78,171737.36,141273.14,212355.07,171496.3,170092.15,225792.09,253762.75,175329.1,188383.01,243030.67,304002.49,199044.69,197659.8,237108.12,272179.38,202424.4,225944.14,193637.32,249510.04,206452.05,219339.26,193363.57,210881.78,194748.15,242180.94,198553.19,225359.77,214434.9,206940.25,183460.18,218760.14,198135,197409.01,193026.23,223763.86,199122.09,210428.88,202005.49,218671.81,218869.41,..,..,..
All species,....Nueva Vizcaya,12177,12295,10361,8447.25,13470,11544,11220,8732,14732,14125,13912.5,7753.5,20590,17620,21528.5,22457.75,26902,18278.79,23395.5,14699.35,21506.36,23087,32600.04,19302,24932.87,30147.33,47140.16,27806.66,35904.82,28578.92,54274.02,32085.87,28920.18,20606.3,43798.29,36040.06,35644.08,33690.78,53300.51,29329.7,41573.48,39614.65,61495.29,34301.33,46420.94,51161.02,62335.4,46033.12,49573.52,50772.71,60886.51,48757.27,44022.7,34666.28,42023.76,37180.47,41780.34,35329.38,44707.19,40825.53,41798.25,51611.49,33684.24,36813.99,32114.99,54792.06,33726.68,37705.55,31388.97,56750.27,33961.38,42368.4,41350.88,64776.86,39320.94,35028.55,41242.4,..,..,..
All species,....Quirino,9280,9179,8961,12774,10890,6697,6683,7858,10435,10553,8137,4997,12451,8021.5,7564,14926.5,11281.1,9167.55,7330.8,8619,11606.28,9917.15,8087.22,9086.6,13526.83,12103.4,10463.89,11991.16,15605.67,16651.3,11790.73,16659.08,18507.02,7071.8,5383.15,16523.29,20395,14639.3,10329.95,17339.6,19113,19178.91,18819.97,30205.6,18619.69,28274.06,15663.06,37993.62,17306.48,22406.18,17119.29,42121.18,16387.81,12907.47,9213.08,33267.37,20612.33,12017.74,10392.44,38157.11,19623.66,23014.73,12025.58,32135.71,21782.03,21604.03,10651.7,32041.72,19106.29,22053.99,12623.44,33917.41,18894.95,20146.76,13053.09,32333.66,18616.29,..,..,..
All species,..Region III (Central Luzon),4085345,3800520,2206956,3924355,3642826,4176827,2405165,3685556,4512536.08,5044826.03,2376232.39,3722823.33,5044685.87,5078891.73,3027660.05,4390282.15,6168442.11,5680076.59,3438663.13,5082324.68,6362589.48,6376931.77,3638840.85,6153600.54,7599353.56,7955989.62,4553065.47,7355902.67,8940058.99,9344858.96,4390795.78,6685617.54,7351152.18,8428873.08,4145960.52,7154817.13,7210077.46,8770352.83,4241566.7,7168404.13,7444878.04,9095468.37,4452877.18,7692323.43,8642071.72,9434034.69,4205573.22,8163424.34,8898673.08,9204960.39,4430463.57,8371787.81,9046646.7,9032280.16,4562735.46,8530302.21,7693206.77,9314526.06,4656439.52,9114634.38,9557311.3,10177806.21,5064172.35,10067537.84,10173130.65,11189001.59,5336146.65,11480035.88,10702699.77,13520988.04,4882810.62,12426783.48,10864519,16249231.75,5780532.35,12096811,12015059.25,..,..,..
All species,....Aurora,67693,78433,82836,82525,68103,70708,77308,75347,70247.18,76446.72,94350.31,89032.04,84579.18,86284.28,90470.99,91734.05,87298.4,95434.35,100425.47,92135.47,90459.51,95323.74,94228,103138.57,94258.95,96807.26,93371.39,98942.11,76560.97,61385.34,83282.4,80944.08,78301.6,100036.16,78793.79,81100.91,76329.79,86847,77687.16,78862.28,81328.42,70755.67,70532.29,81586.1,88307.7,79074.85,67158.02,80243.7,98660.56,82989.9,75060.23,84963.91,128555.64,87598.89,77811.3,83788.35,108514.44,91131.89,81620.91,84297.42,102879.35,91558.58,78135.51,76184.04,95974.86,87370.42,76255.55,81368.2,92480.09,91206.7,94459.33,79241.77,87645.54,88313.49,96458.71,30685.73,79479.06,..,..,..
All species,....Bataan,962898,355794,268185,278449,592884,463840,303718,200155,540270.21,539137.83,290423.14,289344.07,767894.03,760410.59,527092.5,466272.55,613640.8,670491.88,432858.43,491836.08,468327.08,590852.93,470178.26,545190.93,653363.82,544118.69,474346.44,453008.26,588908.85,490460.38,408533.05,490008.11,626836.86,515369.06,415443.31,495417.56,711697.14,572152.81,409534.58,480298.11,695791.12,594271.99,406511.98,474630.76,732574.44,635973.01,442403.54,500383.51,793210.17,644579.79,493122.24,555563.63,787743.45,668706.85,528674.02,639829.32,948424.74,713688.19,551206.78,510965.13,880772.48,645555.65,577472.96,604876.06,1056671.41,809298.94,706467.37,775261.27,1009992.49,2063530.71,512204.92,1257317.73,1059063.89,1765631.03,594396.12,956180.19,887221.21,..,..,..
All species,....Bulacan,825086,756157,748113,1000297,702234,746244,751089,583021,791371.92,1010161.27,662683.13,556219.39,795425.84,1010277.75,620729.3,490490.65,703509.97,1040470.77,693244.77,609563.28,683435.05,1016352.06,517947.78,642627.42,786733.67,2391731.52,753834.14,713743.35,883821.02,2482395.61,862924.69,497030.54,717961.06,2339132.26,619019.82,578677.91,748657.82,2689282.53,677583.52,429699.67,866318.32,2805301.49,713330.33,525726.38,1133101.51,2597891.19,522668.87,566209.52,916962.85,2213417.67,593652.69,513152.96,819593.52,2437085.08,578094,635905.51,799461.74,2374971.95,479763.84,440567.79,997748.49,1533924.77,442085.03,470869.83,917101.68,1459074.49,488491.16,555518.7,444512.9,1820276.28,491065.1,525459.2,304066.1,2213155.28,468736.36,409007.58,633671.74,..,..,..
All species,....Nueva Ecija,53724,56480,57260,169856,56655,66625,57467,193790,87006,75729,60449,185556.91,74062.55,76531,61916,188179,80878.99,93294.16,99918.75,212861,94458.5,85141.7,96542.68,217775.55,125589.64,97131.15,112268.3,251248.96,130704.51,110201.63,114699.96,75944.01,134985.83,83557.62,93555.6,77856.12,126835.13,88758.38,70057,46554.99,95213.4,84168.59,106053.21,54608.86,94072.25,46663.24,107077.68,57206.71,110675.34,97183.04,108418.53,43826.67,110091.38,96615.02,108427.69,49943.32,74201.43,132311.57,161966.43,79620.33,126140.97,90221.09,103396.79,76824.32,138618.5,101220.41,155493.24,76714.68,114474.04,108207.29,118450.3,89633.68,146329.15,143952.82,126991.03,84434.6,229252.31,..,..,..
All species,....Pampanga,1978175,2371927,983720,2266793,2076374,2610221,1139687,2401082,2800991.79,3077470.46,1175788.02,2356126.71,3005787.31,2816450.68,1518624.37,2805865.02,4282956.8,3423254.18,1879687.44,3323355.61,4569879.18,4090746.41,2216236.21,4262647.74,5406697.91,4253881.93,2856267.98,5462890.24,6548301.14,5507970.65,2667358.35,5130540.45,5184052.17,4821564.4,2544973.65,5480568.4,4961930.81,4795018.94,2609630.46,5616253.39,5055440.62,4833479.97,2729272.4,5899785.75,5757542.83,5208964.79,2652902.86,6294932.82,6128292,5086787.18,2646371.7,6475223.87,6314633.41,4667236.61,2753969.22,6482975.39,5066143.81,5024475.09,2845851.16,7496430.12,6478256.1,5846676.31,3168795.55,8075776.06,6840278.95,6379063.38,2943579.6,8567618.69,7310756.14,7116360.45,2858997.16,9344446.44,7795945.07,8540748.16,3682157.73,9887026.51,8941580.3,..,..,..
All species,....Tarlac,28575,37742,15489,32358,24329,38003,16550,36405,32766.25,48054,14859,46217.5,36313.63,48247.1,26717.55,75275.5,112849.95,61401.45,31276.36,78741.28,164469.05,74642.12,34431.8,95529.87,165570.75,76391.2,36093.23,86029.06,215353.06,111101.28,46120.35,132173.74,144249.41,62150.27,41595.9,146256,121110.43,78390.27,53351.82,149472.4,138717.96,119366.72,72624.06,186189.37,158834.24,127199.41,72722.29,178721.96,142530.75,157286.3,99367,209791.31,162010.89,140888.88,107742.15,179174.41,158159.47,87661.64,120863.44,149156.84,192263.17,104221.68,136803.5,206401.22,143129.27,105019.85,290530.85,113698.79,151333.11,49996.93,260993.69,71451.74,178373.94,42085.38,282001.59,80860.06,45322.07,..,..,..
All species,....Zambales,169194,143987,51353,94077,122247,181186,59346,195756,189882.73,217826.75,77679.79,200326.71,280623.33,280690.33,182109.34,272465.38,287307.2,295729.8,201251.91,273831.96,291561.11,423872.81,209276.12,286690.46,367138.82,495927.87,226883.99,290040.69,496409.44,581344.07,207876.98,278976.61,464765.25,507063.31,352578.45,294940.23,463516.34,459902.9,343722.16,367263.29,512068.2,588123.94,354552.91,469796.21,677638.75,738268.2,340639.96,485726.12,708341.41,922716.51,414471.18,489265.46,724018.41,934148.83,408017.08,458685.91,538301.14,890285.73,415166.96,353596.75,779250.74,1865648.13,557483.01,556606.31,981355.98,2247954.1,675328.88,1309855.55,1579151,2271409.68,546640.12,1059232.92,1293095.31,3455345.59,529790.81,648616.33,1198532.56,..,..,..
All species,..Region IV-A (CALABARZON),2471236.82,3294529,2804544,3082691,3043404,3109148,2936405,3217224,3636642.92,3414369.11,3214378.71,3718899.63,3219822.72,3303210.42,3243218.68,4143852.51,3269367.02,3530572.86,4555741.35,3971220.25,3931469.22,3864842.94,4850240.89,4576981.19,4220167.06,4078109.87,5513529.41,4847499.6,5404426.23,4507773.51,6747006.41,4305009.68,4890702.74,4483989.26,6042303.58,4904055.47,4892012.37,4311710.99,5585678.24,5500036.83,5584213.9,4990609.63,6271078.7,5997734.36,5560497.64,5052958,6138629.49,5612008.11,5459616.83,5465413.99,5501768.38,5171179.11,4698701.25,5906122.89,5552824.78,5536950.88,4982733.9,4932947.13,5194416.15,5384544.22,4846751.72,5505815.74,6231855.69,5580875.26,4897090.66,5282491.57,6449786.59,5481558.09,5081696.73,5402492.84,7012930.77,6615753.33,6007510.06,3979750.58,5775114.08,4604656.07,6756268.87,..,..,..
All species,....Batangas,689110,622845,642872,630091,716122,574625,714526,752779,949676.3,701829.02,924097.72,800846.14,1049265.7,682928.05,920680.94,952331.58,1181469.57,749447.18,1683635.08,1208699.91,1684375.52,1048240.3,2399399.93,1337163.12,1596505.16,1057126.65,2671459.52,1459454.26,2282923.14,1479572.09,3488409.44,1462080.87,2030668.75,1386819.73,3059652.77,1897189.14,2053598.46,1171705.02,2163734.33,2088707.72,2439937.67,1672684.81,2412673.37,2124271,2364538.66,1433646.64,2289472.64,2033990.22,2309242.36,1511790.39,1840770.85,1677267.76,1885712.84,1839634.94,1731633.37,2260561.62,2074634.4,1769861.62,2043132.24,1625085.73,1833661.21,1851560.72,2456073.56,2134837.79,1409561.51,1622602.34,3026909.69,2670080.69,1204560.93,1391591.13,3180550.67,3722082.24,1084675.08,1286197.51,2538998.54,2299775.24,1554954.47,..,..,..
